general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
GOOD,0,,200-299% FPL,OWN,SPANISH
FAIR,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,16,,100-199% FPL,OWN,SPANISH
VERY GOOD,9,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,1,,200-299% FPL,OWN,SPANISH
FAIR,11,,100-199% FPL,OWN,SPANISH
FAIR,6,HARDLY EVER,0-99% FPL,OWN,SPANISH
FAIR,6,,0-99% FPL,OWN,SPANISH
GOOD,11,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,15,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,3,,100-199% FPL,OWN,SPANISH
FAIR,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,18,,100-199% FPL,OWN,SPANISH
,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,1,,200-299% FPL,OWN,SPANISH
,12,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,14,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,11,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,6,,0-99% FPL,OWN,SPANISH
VERY GOOD,12,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,13,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,12,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,5,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,18,,0-99% FPL,OWN,SPANISH
,12,,300% FPL AND ABOVE,OWN,SPANISH
FAIR,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,14,,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,4,HARDLY EVER,100-199% FPL,OWN,SPANISH
,13,,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,1,,200-299% FPL,OWN,SPANISH
VERY GOOD,13,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,16,,100-199% FPL,OWN,SPANISH
,11,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,11,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,4,,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,6,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,6,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,7,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,11,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,4,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,10,,300% FPL AND ABOVE,OWN,SPANISH
FAIR,7,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,1,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,7,,300% FPL AND ABOVE,OWN,SPANISH
,11,,100-199% FPL,OWN,SPANISH
GOOD,4,,300% FPL AND ABOVE,OWN,SPANISH
,18,,0-99% FPL,OWN,SPANISH
,9,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,11,HARDLY EVER,300% FPL AND ABOVE,OWN,SPANISH
FAIR,3,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
