general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
FAIR,9,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,16,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,24,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,6,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,6,HARDLY EVER,100-199% FPL,OWN,OTHER LANGUAGE
POOR,7,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,14,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,2,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,1,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,12,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,13,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,5,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,8,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,2,,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,1,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,0,,100-199% FPL,OWN,OTHER LANGUAGE
VERY GOOD,0,,200-299% FPL,OWN,OTHER LANGUAGE
VERY GOOD,1,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,4,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,11,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,3,,100-199% FPL,OWN,OTHER LANGUAGE
GOOD,2,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,5,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,8,,100-199% FPL,OWN,OTHER LANGUAGE
GOOD,13,SOME OF THE TIME,100-199% FPL,OWN,OTHER LANGUAGE
GOOD,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,23,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,6,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,6,OFTEN,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,4,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,2,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,11,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,14,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,2,SOME OF THE TIME,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,8,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,12,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,5,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,20,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,6,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,10,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,4,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,6,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,2,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,0,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,3,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,3,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,11,,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,4,,0-99% FPL,OWN,OTHER LANGUAGE
GOOD,13,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,8,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,5,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
